category,product,gross_sale,qty,month,class
Fresh Vegitable,Green Chilli,1.25,0.25,1,3
Grocery,Kishan Special Toast,3.49,1,1,1
Fish,Hilsha 900 G Up BD,23.64,1.69,1,1
Beef,Beef with Bone,25.37,5.78,1,3
Grocery,Chashi  Chinigura Chal 5 Kg,18.99,1,1,1
Fresh Vegitable,Patal,4.49,1,1,3
Grocery,R Semai,1.99,1,1,1
Beef,Beef with Bone,23.53,5.36,1,3
Beef,Beef with Bone,23.53,5.36,1,3
Beef,Beef Meat,79.19,20.84,1,1
Fish,Rui 2 Kg Up,14.39,4.98,1,1
Ready Made Food,Chicken Somucha,6,1,1,3
Ready Made Food,Veg Somucha,1.25,1,1,3
Fish,Harina,3.99,1,1,1
Frozen,Plain Paratha 25 Pcs,7.99,1,1,2
Ready Made Food,Chicken Somucha,4,2,1,3
Beef,Beef Boneless,27.49,3.99,1,1
Spices,Beef Mas,1.69,1,1,2
Ready Made Food,Veg Somucha,1.25,1,1,3
Ready Made Food,Chicken Somucha,2,1,1,3
Goat,Goat Meat,41.76,4.64,1,1
Chicken,Whole Chicken Off Skin,21.65,6.56,1,1
Chicken,Hard Chicken ,7,1,1,2
Fish,Hilsha 900 G Up BD,24.2,1.73,1,1
Fish,S Puti Small 800g,8.99,1,1,1
Frozen,Data,3.49,1,1,1
Frozen,Loti,3.49,1,1,1
Frozen,Data,3.49,1,1,1
Spices,R Haleem Mix,2.99,1,1,1
Grocery,R Semai,1.99,1,1,1
Fish,Taki,8.89,1,1,1
Fish,Baila 500g,10.99,1,1,2
Grocery,R Mustard Oil 1l,7.99,1,1,1
Chicken,Chicken Leg,20.96,10.03,1,3
Chicken,Hard Chicken ,21,3,1,2
Sweet,Kalo Jam,15.99,1,1,1
Ready Made Food,Chicken Somucha,2,1,1,3
Fish,Rou 5 Kg Up,49.76,12.47,1,1
Beef,Beef with Bone,25.24,5.75,1,3
Frozen,Rice Flower Roti,3.49,1,1,1
Spices,R Mejbani Beef Mas,1.69,1,1,1
Chicken,Whole Chicken Off Skin,11.42,3.46,1,1
Ready Made Food,Veg Somucha,12.5,10,1,3
Ready Made Food,Fresh Nan,5.5,1,1,1
Fresh Vegitable,Patal,6.74,1.5,1,3
Fresh Vegitable,Donia / Cilantro,1.25,1,1,1
Fresh Vegitable,Radess (Mula),3.99,1,1,1
Chicken,Chicken Leg,6.56,3.14,2,3
Fresh Vegitable,Lau,7.58,1.9,2,1
Ready Made Food,Chicken Somucha,6,1,2,3
Fish,S Puti Small 800g,8.99,1,2,1
Fresh Vegitable,Green Chilli,3.39,0.68,2,3
None,Plain Rice,5,1,2,3
Ready Made Food,Veg Somucha,1.25,1,2,3
Ready Made Food,Chicken Somucha,2,1,2,3
Fresh Vegitable,Sim ,12.48,2.5,2,3
None,Plain Rice,0.02,1,2,3
Spices,Chilli 400g,4.99,1,2,1
Fresh Vegitable,Pan,1.99,1,2,1
Grocery,S Ginger Garlic,4.99,1,2,1
Frozen,Shapla 300g,3.49,1,2,1
Grocery,Nido 900g,29.99,1,2,1
Beef Share,Beef Share 30 Lb,120,1,2,2
Beef Share,Beef Share 20 Lb,80,1,2,1
Ready Made Food,Muri (Ruchi)400g,3.49,1,2,1
Frozen,Patali Gur,5.49,1,2,1
None,Plain Rice,4.49,1,2,3
Fresh Vegitable,Jute Leaf ,3.49,1,2,1
Grocery,Bombay Chanachur 300g,3.49,1,2,1
Frozen,Data,3.49,1,2,1
Fish,Harina,7.98,2,2,1
Fish,Keski,7.98,2,2,1
Fresh Vegitable,Sim ,6.89,1.38,2,3
Fresh Vegitable,Green Chilli,2.1,0.42,2,3
Chicken,Hard Chicken ,28,4,2,2
Fish,Sor Puti,8.62,2.47,2,1
Grocery,R Mustard Oil 1l,7.99,1,2,1
Fish,Chepa Shutki,5.49,1,2,1
Sweet,Mix Sweet,6.65,0.74,2,1
Sweet,Chushir Payesh 400g,5.99,1,2,1
Fish,Taki Bhorta,4.99,1,2,1
Frozen,Kothbel Bhortha,4.99,1,2,1
Frozen,Tandoori Spread 400jg,16.99,1,2,1
Fish,Mix Fish,5.25,1,2,1
None,Plain Rice,3.49,1,2,3
Sweet,Laddu,7.19,0.9,2,1
Sweet,Milk Cake,9.39,0.94,2,1
Frozen,Chingri Bhorta,4.99,1,2,1
Chicken,Hard Chicken ,21,3,2,2
Spices,Beef Mas,1.69,1,2,2
Fresh Vegitable,Ada,1.97,0.79,2,1
Fish,Rui 2 Kg Up,15.78,5.46,2,1
Chicken,Chicken Leg,16.95,8.11,2,3
Fresh Vegitable,Sim ,7.24,1.45,2,3
Fresh Vegitable,Patal,8.4,1.87,2,3
Grocery,Ruchichana Chur B B Q 300g,6.98,2,2,1
Spices,S Butter Chicken Mix,1.45,1,2,1
Frozen,Plain Paratha 25 Pcs,7.99,1,3,2
Beef,Beef Liver,8.52,2.44,3,1
Frozen,Plain Paratha 25 Pcs,7.99,1,3,2
Fish,Rui 2 Kg Up,16.79,5.81,3,1
Fish,Hilsha 900 G Up BD,23.92,1.71,3,1
Fresh Vegitable,Kolme Shak,3.49,1,3,1
Frozen,Kothbel Bhortha,4.99,1,3,1
Fish,Chapila,4.89,1,3,1
Fish,Ssing,9.99,1,3,1
Fish,Lotia Sutki,5.89,1,3,1
Cosmetic,Parachute Coconut Oil 175Ml,3.49,1,3,1
Grocery,Moricha Gur,5.49,1,3,1
Frozen,Loti,3.49,1,3,1
Grocery,Moricha Gur,5.49,1,3,1
Fresh Vegitable,Sim ,5.34,1.07,3,3
Beef Share,Beef Share 30 Lb,120,1,3,2
Fish,Tengra,10.99,1,3,1
Fresh Vegitable,Green Chilli,5.99,1.2,3,3
Grocery,Buttel Nut  Jera Cut,5.99,1,3,1
Fresh Vegitable,Sim ,7.88,1.58,3,3
Chicken,Whole Chicken Off Skin,9.67,2.93,3,1
Beef Share,Beef Share 25 Lb,100,1,3,1
Fresh Vegitable,Green Chilli,3.29,0.66,3,3
Fresh Vegitable,Green Chilli,4.74,0.95,3,3
Chicken,Whole Chicken Off Skin,34.68,10.51,3,1
Fresh Vegitable,Onion,3.85,3.85,3,1
Grocery,Mr. Noodles 85g,1.8,4,3,1
Grocery,Salt Table,2.39,1,3,1
None,Plain Rice,1.99,1,3,3
Ready Made Food,Bomby chanachur 300g,3.49,1,3,1
Frozen,Plain Paratha 25 Pcs,7.99,1,3,2
Grocery,Basmoti Tilda 10 Lb,44.97,3,3,1
Fresh Vegitable,Dhonia Pata,1.5,1,3,1
Fresh Vegitable,Green Chilli,2.4,0.48,3,3
Fresh Vegitable,Patal,8.08,1.8,3,3
None,Plain Rice,2,1,3,3
Fish,Shrimp  Brown 400 G,26.97,3,3,1
Spices,R Mejbani Beef Mas,1.69,1,3,1
Spices,R Garam Masala,4.99,1,3,1
None,Plain Rice,1.45,1,3,3
Grocery,Food colour Deep 25g,3.49,1,3,1
None,Plain Rice,10.5,1,3,3
Sweet,Jilapi,3.29,0.47,3,1
Grocery,Egg  12 Pcs,8.97,3,3,1
Beef,Beef with Bone,35.12,8,3,3
Frozen,Tandoori Spread 400jg,16.99,1,3,1
Achar,Ruchi Mixedchutney,4.49,1,3,1
Fish,Pagush 3 Kg Up,18.15,5.2,3,1
Fish,Keski,3.99,1,3,1
Fish,Baila 500g,10.99,1,3,2
Fish,Koi,8.89,1,3,1
Fresh Vegitable,Beans (seam),5.99,1.2,4,1
Fresh Vegitable,Patal,8.98,2,4,3
Fresh Vegitable,Dhonia Pata,1.5,1,4,1
Chicken,Chicken Leg,17.26,8.26,4,3
Frozen,Data,3.49,1,4,1
Spices,Black Salt Tit Bit 100 G,1.99,1,4,1
Chicken,Whole Chicken With Skin,18.38,6.45,4,1
Spices,R Fill Powder 200g,2.99,1,4,1
Spices,R Cumin 200g,3.99,1,4,1
Spices,R Coriander Powder,2.99,1,4,1
Grocery,Bombay Chanachur 600g,5.99,1,4,1
Beverages,Beatrice 3%,5.99,1,4,2
Beef,Beef Kima,34.68,6.95,4,1
Beef,Beef with Bone,42.23,9.62,4,3
Chicken,Whole Chicken Off Skin,46.3,14.03,4,1
None,Plain Rice,37.7,1,4,3
Frozen,Loti,10.47,3,4,1
Spices,Beef Mas,3.38,2,4,2
Fresh Vegitable,Sim ,6.94,1.39,4,3
Fresh Vegitable,Pan,1.99,1,4,1
Beef,Beef with Bone,41.84,9.53,4,3
Chicken,Whole Chicken Off Skin,22.64,6.86,4,1
Spices,R Tehari Masala,8.45,5,4,1
Fresh Vegitable,Green Chilli,1.85,0.37,4,3
Grocery,Rice Treasure 8 K,13.99,1,4,1
Grocery,R Jhal Muri,2.97,3,4,1
Grocery,Salt Table,2.39,1,4,1
Fresh Vegitable,Pumkin,15.96,4,4,1
Fish,Puti,3.99,1,4,1
Chicken,Chicken Leg,10.03,4.8,4,3
Spices, R Kala Bhuna Masala,5.97,3,4,1
Frozen,Chapati Roti,4.49,1,4,1
Lamb,Lamb Mix,271.66,34,4,1
None,Plain Rice,28,1,4,3
None,Plain Rice,49.25,1,4,3
None,Plain Rice,5,1,4,3
Chicken,Whole Chicken Off Skin,9.24,2.8,4,1
Fresh Vegitable,Pan,1.99,1,4,1
Grocery,Ruchi Hot Chanachur,3.49,1,4,1
Grocery,Supari(Bettel Nut),4.99,1,4,1
Spices,Soup Magi125g,8.94,6,4,1
Grocery,Supari(Bettel Nut),4.99,1,4,1
Sweet,Chom Chom 800 G,15.99,1,4,1
Grocery,Potato Chip,0.99,1,4,1
Fish,Harina,3.99,1,4,1
Fish,Koi 250 G,6.49,1,4,1
Fresh Vegitable,Sim ,5.09,1.02,4,3
Fresh Vegitable,Patal,8.4,1.87,4,3
Frozen,Data,6.98,2,4,1
Fish,Ssing,9.99,1,5,1
Fish,Sor Puti,8.52,2.44,5,1
None,Plain Rice,4.99,1,5,3
Fresh Vegitable,Pan,1.99,1,5,1
Ready Made Food,Chicken Somucha,8,1,5,3
Fresh Vegitable,Sim ,6.69,1.34,5,3
Beverages,Beatrice 3%,5.99,1,5,2
Fresh Vegitable,Egg,2.99,1,5,1
Grocery,Coconut Milk Aroy400 Ml,3.98,2,5,1
Chicken,Whole Chicken With Skin,16.3,5.72,5,1
Ready Made Food,Veg Somucha,7.5,6,5,3
Ready Made Food,Chicken Somucha,12,1,5,3
Chicken,Chicken Leg,10.53,5.04,5,3
Chicken,Chicken Drumstick,19.79,4.96,5,1
Chicken,Chicken Leg,3.66,1.75,5,1
Beef,Beef with Bone,22.74,5.18,5,3
Fresh Vegitable,Pumkin,13.05,3.27,5,1
Fresh Vegitable,Patal,7.32,1.63,5,3
Fresh Vegitable,Green Chilli,2.59,0.52,5,3
Fresh Vegitable,Dhonia Pata,1.5,1,5,1
Fresh Vegitable,Sim ,5.79,1.16,5,3
Fresh Vegitable,Papaya,8.18,2.05,5,1
None,Plain Rice,18.99,1,5,3
Fresh Vegitable,Pumkin,26.81,6.72,5,1
Fish,Hilsha Egg,11.99,1,5,1
Fish,Lotia Sutki,5.89,1,5,1
Spices,S Memoni Muttton Biryani,1.45,1,5,1
None,Plain Rice,9.99,1,5,3
Spices,S Memoni Muttton Biryani,13.05,9,5,1
Fish,Chapila,4.89,1,5,1
Fish,Taposhi 250,4.49,1,5,1
Fish,Long Baim,10.99,1,5,1
Chicken,Whole Chicken Off Skin,25.21,7.64,5,1
Fish,Kakila,8.99,1,5,1
None,Plain Rice,3.49,1,5,3
Frozen,Seem Seeds,9.98,2,5,1
Fish,Shoil,19.47,3.25,5,1
Grocery,R mustard Oil 500 Ml,3.99,1,5,1
Chicken,Hard Chicken ,21,3,5,2
Beef Share,Beef Share 30 Lb,120,1,5,2
Ready Made Food,Chicken Somucha,4,1,5,3
Ready Made Food,Veg Somucha,1.25,1,5,3
Ready Made Food,Chicken Somucha,4,1,5,3
Ready Made Food,Veg Somucha,2.5,2,5,1
Goat,Goat Chop,44.57,5.25,5,1
Fresh Vegitable,Sim ,7.53,1.51,5,3
Fresh Vegitable,Sim ,6.49,1.3,5,3
None,Plain Rice,3.49,1,5,3
None,Plain Rice,3.49,1,5,3
Sweet,Golab Jaman,4.63,0.58,5,1
Chicken,Chicken Leg,16.26,7.78,5,3
Grocery,Potato Chip,1.98,2,5,1
Grocery,Marie Lite Priyagold 100 G,1.49,1,5,1